text,label,entities,source_method,difficulty_level
Remind me to call mom tomorrow at 2:30 pm,set_reminder,"{""task"": ""call mom"", ""time_phrase"": ""tomorrow at 2:30 pm""}",original,easy
Set a reminder for meeting at 5 pm,set_reminder,"{""task"": ""meeting"", ""time_phrase"": ""at 5 pm""}",original,easy
Remind me to buy groceries in 2 hours,set_reminder,"{""task"": ""buy groceries"", ""time_phrase"": ""in 2 hours""}",original,easy
Remind me to take medicine at 8 pm,set_reminder,"{""task"": ""take medicine"", ""time_phrase"": ""at 8 pm""}",original,easy
set a reminder for 3pm,set_reminder,"{""task"": ""reminder"", ""time_phrase"": ""3pm""}",original,easy
I want to set a reminder,set_reminder,{},original,easy
Add reminder to prepare slides for presentation next week,set_reminder,"{""subject"": ""prepare slides for presentation"", ""time_phrase"": ""next week""}",original,easy
Remind me about the quarterly budget meeting Tuesday morning,set_reminder,"{""subject"": ""quarterly budget meeting"", ""time_phrase"": ""Tuesday morning""}",original,easy
I need to set a reminder to follow up with client X in two days,set_reminder,"{""subject"": ""follow up with client X"", ""contact_name"": ""client X"", ""time_phrase"": ""in two days""}",original,easy
Set a reminder: pick up prescription at 3pm today,set_reminder,"{""subject"": ""pick up prescription"", ""time_phrase"": ""3pm today""}",original,easy
Remind me to call the garage this afternoon,set_reminder,"{""subject"": ""call the garage"", ""time_phrase"": ""this afternoon""}",original,easy
Remind me to buy milk and eggs,set_reminder,"{""subject"": ""buy milk and eggs""}",original,easy
Set an alarm for tomorrow at 6 AM to go for a run,set_reminder,"{""subject"": ""go for a run"", ""time_phrase"": ""tomorrow at 6 AM""}",original,easy
Remind me to check emails in 15 minutes,set_reminder,"{""subject"": ""check emails"", ""time_phrase"": ""in 15 minutes"", ""duration"": ""15 minutes""}",original,easy
Remind Maine to call mom tomorrow at 2:30 pm,set_reminder,"{""task"": ""call mom"", ""time_phrase"": ""tomorrow at 2:30 pm""}",synonym_replace,hard
Set angstrom reminder for meeting at 5 pm,set_reminder,"{""task"": ""meeting"", ""time_phrase"": ""at 5 pm""}",synonym_replace,hard
Remind Maine to buy groceries in 2 hours,set_reminder,"{""task"": ""buy groceries"", ""time_phrase"": ""in 2 hours""}",synonym_replace,hard
Remind Maine to take medicine at 8 pm,set_reminder,"{""task"": ""take medicine"", ""time_phrase"": ""at 8 pm""}",synonym_replace,hard
set a reminder for pm,set_reminder,"{""task"": ""reminder"", ""time_phrase"": ""3pm""}",spellchecker_correction,medium
set angstrom reminder for 3pm,set_reminder,"{""task"": ""reminder"", ""time_phrase"": ""3pm""}",synonym_replace,hard
I wanna set a reminder,set_reminder,{},misspelling_common,medium
iodine want to set a reminder,set_reminder,{},synonym_replace,hard
attention deficit disorder reminder to prepare slides for presentation next week,set_reminder,"{""subject"": ""prepare slides for presentation"", ""time_phrase"": ""next week""}",synonym_replace,hard
Remind Maine about the quarterly budget meeting Tuesday morning,set_reminder,"{""subject"": ""quarterly budget meeting"", ""time_phrase"": ""Tuesday morning""}",synonym_replace,hard
Remind me bout the quarterly budget meeting Tuesday morning,set_reminder,"{""subject"": ""quarterly budget meeting"", ""time_phrase"": ""Tuesday morning""}",misspelling_common,medium
iodine need to set a reminder to follow up with client X in two days,set_reminder,"{""subject"": ""follow up with client X"", ""contact_name"": ""client X"", ""time_phrase"": ""in two days""}",synonym_replace,hard
Set a reminder pick up prescription at 3pm today,set_reminder,"{""subject"": ""pick up prescription"", ""time_phrase"": ""3pm today""}",spellchecker_correction,medium
Set angstrom reminder: pick up prescription at 3pm today,set_reminder,"{""subject"": ""pick up prescription"", ""time_phrase"": ""3pm today""}",synonym_replace,hard
Set a reminder: pick up prescription at pm today,set_reminder,"{""subject"": ""pick up prescription"", ""time_phrase"": ""3pm today""}",spellchecker_correction,medium
Remind Maine to call the garage this afternoon,set_reminder,"{""subject"": ""call the garage"", ""time_phrase"": ""this afternoon""}",synonym_replace,hard
Remind Maine to buy milk and eggs,set_reminder,"{""subject"": ""buy milk and eggs""}",synonym_replace,hard
Set Associate in Nursing alarm for tomorrow at 6 AM to go for a run,set_reminder,"{""subject"": ""go for a run"", ""time_phrase"": ""tomorrow at 6 AM""}",synonym_replace,hard
Remind Maine to check emails in 15 minutes,set_reminder,"{""subject"": ""check emails"", ""time_phrase"": ""in 15 minutes"", ""duration"": ""15 minutes""}",synonym_replace,hard
What’s on my calendar this week?,calendar_query,"{""date_reference"": ""this week""}",original,easy
Check my calendar for tomorrow,calendar_query,"{""date_reference"": ""tomorrow""}",original,easy
Show me my schedule for Friday,calendar_query,"{""date_reference"": ""Friday""}",original,easy
What's my next appointment?,calendar_query,{},original,easy
